model,split,accuracy,macro_f1,weighted_f1,train_seconds,latency_ms_per_review,source
tfidf_logistic_regression_same_cap,test,0.8333333333333334,0.7053872053872053,0.8284511784511784,0.006676832999801263,0.025177800368207194,milestone4
majority_baseline,test,0.7666666666666667,0.2893081761006289,0.6654088050314466,0.00015795801300555468,0.0,milestone4
distilbert_finetuned,test,0.7666666666666667,0.2893081761006289,0.6654088050314466,7.329200161620975e-05,0.32504720050686353,milestone4
tfidf_logistic_regression_same_cap,val,0.6333333333333333,0.41098241098241095,0.6127842127842128,0.006676832999801263,0.026572233764454722,milestone4
majority_baseline,val,0.6,0.25,0.45,0.00015795801300555468,0.0,milestone4
distilbert_finetuned,val,0.6,0.25,0.45,7.329200161620975e-05,0.4477972339373082,milestone4
