model,split,accuracy,macro_f1,weighted_f1
logistic_regression_baseline,test,0.4506043089858119,0.42920740752056846,0.46036226732131014
keras_tabular_mlp,test,0.31686810299527063,0.3117173278871963,0.29900889558347643
majority_baseline,test,0.5278507619548082,0.23032387503582688,0.36472989880213574
logistic_regression_baseline,val,0.4626904887020494,0.44045277075034245,0.4719364718972939
keras_tabular_mlp,val,0.3215974776668418,0.31788552496123007,0.30095974069304027
majority_baseline,val,0.5283762480294272,0.23047389834393442,0.36533080102705107
