model,split,accuracy,macro_f1,weighted_f1
logistic_regression_baseline,test,0.4506043089858119,0.4292074075205684,0.4603622673213101
keras_tabular_mlp,test,0.3168681029952706,0.3117173278871963,0.2990088955834764
majority_baseline,test,0.5278507619548082,0.2303238750358268,0.3647298988021357
logistic_regression_baseline,val,0.4626904887020494,0.4404527707503424,0.4719364718972939
keras_tabular_mlp,val,0.3215974776668418,0.31788552496123,0.3009597406930402
majority_baseline,val,0.5283762480294272,0.2304738983439344,0.365330801027051
