model,split,accuracy,macro_f1,weighted_f1,train_time_seconds,num_train_images
majority_baseline,val,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.00027345799026079476,42
majority_baseline,test,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.00027345799026079476,42
small_cnn_from_scratch,val,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5190125829831231,42
small_cnn_from_scratch,test,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5190125829831231,42
mobilenetv2_transfer,val,0.5555555555555556,0.5682539682539682,0.5682539682539683,0.6833650830085389,42
mobilenetv2_transfer,test,0.2222222222222222,0.19444444444444442,0.19444444444444445,0.6833650830085389,42
